n whisker_min box_min median box_high whisker_high
284 5776 6266 6446 6845 7993 
285 5707 5969 6071 7076 7830 
286 5985 6183 6614 6631 8084 
287 5855 5880 6046 7954 9855 
288 5968 6569 6720 7242 8595 
289 5976 6411 6664 7302 8730 
290 5764 6418 6490 7276 8229 
291 6282 6470 7174 7989 10576 
292 6489 7121 7565 7870 8303 
293 6332 6354 6938 6959 8333 
294 5978 6331 6825 6948 8101 
295 6485 6564 7127 7757 8384 
296 6061 6277 6396 8642 9725 
297 6078 6293 8300 8340 8490 
298 6289 6336 6344 7725 9873 
299 6458 6710 7060 7366 8480 
300 6328 6423 6499 7109 8732 
